Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Samadhi,1-Jan-50,0,0,0,0.75
Babul,1-Jan-50,0,0,0,0.7
Awaara,1-Jan-51,0,0,0,1.25
Albela,1-Jan-51,0,0,0,0.9
Baazi,1-Jan-51,0,0,0,1
Deedar,1-Jan-51,0,0,0,0.8
Jadoo,1-Jan-51,0,0,0,0.75
Aan,1-Jan-52,0,0,0,1.5
Baiju Bawra,1-Jan-52,0,0,0,1.25
Daag,1-Jan-52,0,0,0,0.8
Jaal,1-Jan-52,0,0,0,1
Anarkali,1-Jan-53,0,0,0,1.25
Nagin,1-Jan-54,0,0,0,1.5
Nastik,1-Jan-54,0,0,0,1.25
Taxi Driver,1-Jan-54,0,0,0,1
Uran Khatola,1-Jan-55,0,0,0,1.1
Shree 42 ,1-Jan-55,0,0,0,2
Jhanak Jhanak Payal Baje,1-Jan-55,0,0,0,1.25
Azaad,1-Jan-55,0,0,0,1.5
Ek Hi Rasta,1-Jan-56,0,0,0,1
C. I. D.,1-Jan-56,0,0,0,1.25
Mother India,14-Feb-57,0,0,0,4
Do Aankhen Barah Haath,1-Jan-57,0,0,0,1.25
Naya Daur,1-Jan-57,0,0,0,2.25
Pyaasa,1-Jan-57,0,0,0,1.5
Chalti Ka Naam Gaadi,1-Jan-58,0,0,0,1.25
Madhumati,1-Jan-58,0,0,0,2
Navrang,1-Jan-59,0,0,0,1.25
Anari,1-Jan-59,0,0,0,1.5
Paigham,1-Jan-59,0,0,0,1.4
Mughal-E-Azam,5-Aug-60,0,0,0,5.5
Chaudhvin Ka Chand,1-Jan-60,0,0,0,1.25
Dil Apna Aur Preet Parai,1-Jan-60,0,0,0.15,0.02
Kohinoor,1-Jan-60,0,0,0,1.5
Barsaat Ki Raat,1-Jan-60,0,0,0,1.75
Junglee,1-Jan-61,0,0,0,1.75
Ganga Jamuna,1-Jan-61,0,0,0,3.5
Gharana,1-Jan-61,0,0,0,1.25
Ek Musafir Ek Hasina,1-Jan-62,0,0,0,1.25
Bees Saal Baad,1-Jan-62,0,0,0,1.5
Mere Mehboob,1-Jan-63,0,0,0,3
Gumrah,1-Jan-63,0,0,0,1.25
Taj Mahal,1-Jan-63,0,0,0,1.75
Sangam,18-Jun-64,0,0,0,4
Rajkumar,3-Jan-64,0,0,0,1.5
Ayee Milan Ki Bela,1-Jan-64,0,0,0,2.25
Phir Wohi Dil Laya Hoon,1-Jan-64,0,0,0,1.5
Dosti,1-Jan-64,0,0,0,2
Kashmir Ki Kali,1-Jan-64,0,0,0,1.3
Ziddi,1-Jan-64,0,0,0,1.75
Guide,9-Feb-65,0,0,0,1.75
Waqt,1-Jan-65,0,0,0,3
Himalay Ki God Mein,1-Jan-65,0,0,0,2.25
Jab Jab Phool Khile,1-Jan-65,0,0,0,2.75
Arzoo,1-Jan-65,0,0,0,2
Jaanwar,1-Jan-65,0,0,0,1.5
Khandan,30-Nov-64,0,0,0,1.4
Mera Saaya,1-Jan-66,0,0,0,2.25
Do Badan,1-Jan-66,0,0,0,1.5
Love In Tokyo,1-Jan-66,0,0,0,1.75
Phool Aur Patthar,1-Jan-66,0,0,0,2.75
Suraj,1-Jan-66,0,0,0,2.5
Teesri Manzil,1-Jan-66,0,0,0,1.9
Upkar,1-Jan-67,0,0,0,3.5
Jewel Thief,1-Jan-67,0,0,0,1.75
An Evening In Paris,1-Jan-67,0,0,0,1.5
Shagird,1-Jan-67,0,0,0,2
Farz,1-Jan-67,0,0,0,2.5
Hamraaz,1-Jan-67,0,0,0,2.25
Milan,1-Jan-67,0,0,0,1.6
Ram Aur Shyam,1-Jan-67,0,0,0,2.75
Do Kaliyan,1-Jan-68,0,0,0,2
Aankhen,1-Jan-68,0,0,0,3.25
Kanyadaan,1-Jan-68,0,0,0,1.6
Neel Kamal,1-Jan-68,0,0,0,1.8
Jeene Ki Raah,1-Jan-69,0,0,0,1.6
Do Raaste,1-Jan-69,0,0,0,3.25
Ek Phool Do Mali,1-Jan-69,0,0,0,2.5
Prince,1-Jan-69,0,0,0,2
Aradhana,1-Jan-69,0,0,0,3.5
Intaquam,1-Jan-69,0,0,0,1.8
Jeevan Mrityu,21-Apr-70,0,0,0,2
The Train,10-Apr-70,0,0,0,1.05
Khilona,8-Apr-70,0,0,0,1.75
Safar,1-Jan-70,0,0,0,1.5
Pehchan,1-Jan-70,0,0,0,1.2
Geet,1-Jan-70,0,0,0,0.95
Humjoli,1-Jan-70,0,0,0,1.55
Bhai Bhai,1-Jan-70,0,0,0,1.1
Johny Mera Naam,1-Jan-70,0,0,0,4
Tum Haseen Main Jawan,1-Jan-70,0,0,0,1.45
Sharafat,1-Jan-70,0,0,0,1.6
Kab Kyon Aur Kahan,1-Jan-70,0,0,0,1.25
Gopi,1-Jan-70,0,0,0,1.4
Kaun Ho Tum,1-Jan-70,0,0,0.005,0.005
Ganwaar,1-Jan-70,0,0,0,1.15
Sawan Bhadon,1-Jan-70,0,0,0,1
Sachaa Jhutha,1-Jan-70,0,0,0,2.75
Bharat Ka Sanvidhan,1-Jan-70,0,0,0.001,0.001
Andaz,1-Aug-71,0,0,0,2
Maryada,16-Jul-71,0,0,0,2.25
Mera Gaon Mera Desh,14-Jun-71,0,0,0,3
Rakhwala,1-Jan-71,0,0,0,0.95
Purab Aur Pashcim,1-Jan-71,0,0,0,2.25
Naya Zamana,1-Jan-71,0,0,0,1.05
Mela,1-Jan-71,0,0,0,1.2
Guddi,1-Jan-71,0,0,0,0.78
Anand,1-Jan-71,0,0,0,0.98
Sharmilee,1-Jan-71,0,0,0,1.3
Aan Milo Sajna,1-Jan-71,0,0,0,2.5
Haathi Mere Saathi,1-Jan-71,0,0,0,3.5
Kal Aaj Aur Kal,1-Jan-71,0,0,0,1.1
Kati Patang,1-Jan-71,0,0,0,1.9
Main Sundar Hoon,1-Jan-71,0,0,0,0.82
Ek Nari Ek Brahmachari,1-Jan-71,0,0,0,0.75
Mehboob Ki Mehndi,1-Jan-71,0,0,0,0.9
Mere Apne,1-Jan-71,0,0,0,0.85
Caravan,1-Jan-71,0,0,0,1.8
Paras,1-Jan-71,0,0,0,0.8
Victoria No. 2 3,8-Dec-72,0,0,0,2
Raja Jani,3-Nov-72,0,0,0,2.5
Do Chor,24-Mar-72,0,0,0,0.82
Bombay To Goa,3-Mar-72,0,0,0,1
Pakeezah,4-Feb-72,0,0,0,3
Balidaan,1-Jan-72,0,0,0,1
Shararat,1-Jan-72,0,0,0,1.05
Samadhi,1-Jan-72,0,0,0,1.6
Shor,1-Jan-72,0,0,0,0.88
Mere Jeevan Saathi,1-Jan-72,0,0,0,0.85
Dushmun,1-Jan-72,0,0,0,2.75
Dastaan,1-Jan-72,0,0,0,0.92
Jawani Diwani,1-Jan-72,0,0,0,1.75
Apna Desh,1-Jan-72,0,0,0,2.1
Beimaan,1-Jan-72,0,0,0,2.25
Amar Prem,1-Jan-72,0,0,0,1.5
Apradh,1-Jan-72,0,0,0,1.1
